"","X.3","X.2","X.1","X","songid","song","performer","n","lyrics","sentiment"
"31",31,31,31,31,"It's Beginning To Look A Lot Like ChristmasMichael Buble","It's Beginning To Look A Lot Like Christmas","Michael Buble",1,"It's beginning to look a lot like Christmas Everywhere you go;Take a look at the five and ten It's glistening once again With candy canes and silver lanes aglow It's beginning to look a lot like Christmas Toys in every store But the prettiest sight to see is the holly that will be On your own front door A pair of hop-a-long boots and a pistol that shoots Is the wish of Barney and Ben; Dolls that will talk and will go for a walk Is the hope of Janice and Jen; And Mom and Dad can hardly wait for school to start again It's beginning to look a lot like Christmas Everywhere you go; There's a tree in the Grand Hotel, one in the park as well It's the sturdy kind that doesn't mind the snow It's beginning to look a lot like Christmas; Soon the bells will start And the thing that will make them ring is the carol that you sing Right within your heart It's beginning to look a lot like Christmas Toys in every store But the prettiest sight to see is the holly that will be On your own front door So it's Christmas once more",10
"32",32,32,32,32,"It's The Most Wonderful Time Of The YearAndy Williams","It's The Most Wonderful Time Of The Year","Andy Williams",1,"It's the most wonderful time of the year With the kids jingle belling And everyone telling you ""be of good cheer"" It's the most wonderful time of the year It's the hap-happiest season of all With those holiday greetings And gay happy meetings when friends come to call It's the hap-happiest season of all There'll be parties for hosting Marshmallows for toasting And caroling out in the snow There'll be scary ghost stories And tales of the glories Of Christmases long, long ago It's the most wonderful time of the year There'll be much mistletoeing And hearts will be glowing when loved ones are near It's the most wonderful time of the year There'll be parties for hosting Marshmallows for toasting And caroling out in the snow There'll be scary ghost stories And tales of the glories Of Christmases long, long ago It's the most wonderful time of the year There'll be much mistletoeing And hearts will be glowing when loved ones are near It's the most wonderful time It's the most wonderful time It's the most wonderful time It's the most wonderful time of the year",14
"33",33,33,33,33,"Jingle Bell RockBobby Helms","Jingle Bell Rock","Bobby Helms",20,"Jingle bell, jingle bell, jingle bell rock Jingle bells swing and jingle bells ring Snowin' and blowin' up bushels of fun Now, the jingle hop has begun Jingle bell, jingle bell, jingle bell rock Jingle bells chime in jingle bell time Dancin' and prancin' in Jingle Bell Square In the frosty air What a bright time, it's the right time To rock the night away Jingle bell time is a swell time To go glidin' in a one-horse sleigh Giddy-up jingle horse, pick up your feet Jingle around the clock Mix and a-mingle in the jinglin' feet That's the jingle bell rock Jingle bell, jingle bell, jingle bell rock Jingle bells chime in jingle bell time Dancin' and prancin' in Jingle Bell Square In the frosty air What a bright time, it's the right time To rock the night away Jingle bell time is a swell time To go glidin' in a one-horse sleigh Giddy-up jingle horse, pick up your feet Jingle around the clock Mix and a-mingle in the jinglin' feet That's the jingle bell That's the jingle bell That's the jingle bell rock",3
"34",34,34,34,34,"Jingle Bell RockBobby Rydell/Chubby Checker","Jingle Bell Rock","Bobby Rydell/Chubby Checker",8,"When I was just a wee little lad full of health and joy My father homeward came one night and gave to me a toy A wonder to behold it was, with many colors bright And the moment I laid eyes on it, it became my heart's delight It went zip when it moved, bop when it stopped Whirr when it stood still, I never knew just what it was And I guess I never will The first time that I picked it up I had a big surprise For right on its bottom were two big button that looked like big green eyes I first pushed one and then the other, then I twisted its lid And when I set it down again here is what it did It went zip when it moved, bop when it stopped Whirr when it stood still, I never knew just what it was And I guess I never will It first marched left, then marched right, then marched under a chair And when I looked where it had gone it wasn't even there I started to cry and my daddy laughed for he knew that I would find When I turned around my marvelous toy chugging from behind It went zip when it moved, bop when it stopped Whirr when it stood still, I never knew just what it was And I guess I never will Now the years have gone by too quickly it seems, I have my own little boy And yesterday I gave to him my marvelous little toy His eyes nearly popped right out of his head, he gave a squeal of glee Neither one of us knows just what it is but he loves it just like me It still goes zip when it moves, bop when it stops And whirr when it stands still, I never knew just what it was And I guess I never will I never knew just what it was And I guess I never will",14
"35",35,35,35,35,"Last ChristmasAriana Grande","Last Christmas","Ariana Grande",1,"I hate that I remember I wish I could forget what you did last December You left my heart a mess Boy, you blew it How could you do it, do it? Oh, yeah Last Christmas, I gave you my heart But the very next day you gave it away This year to save me from tears, I'll give it to someone special Last Christmas, I gave you my heart But the very next day you gave it away This year to save me from tears, I'll give it to someone special Thought we belong together At least that's what you said I should have known better You broke my heart again Boy, you blew it How could you do it, do it? Oh, yeah Last Christmas, I gave you my heart But the very next day you gave it away This year to save me from tears, I'll give it to someone special Last Christmas, I gave you my heart But the very next day you gave it away This year to save me from tears, I'll give it to someone special How could you leave Christmas morning? You broke my heart with no warning Boy, you blew it How could you do it, do it? Oh, yeah Last Christmas, I gave you my heart But the very next day you gave it away This year to save me from tears, I'll give it to someone special Last Christmas, I gave you my heart But the very next day you gave it away This year to save me from tears, I'll give it to someone special This is our last, last Christmas You broke my heart Last, last Christmas You broke my heart This year to save me from tears, I'll give it to someone special I hate that I remember I wish I could forget what you did last December You left my heart a mess You blew it You do it, do it?",-8
"36",36,36,36,36,"Last ChristmasGlee Cast","Last Christmas","Glee Cast",2,"Bum, bum-bum-bum, bum-bum-bum-bum, bum, bum-bum Bum, bum-bum-bum, bum-bum-bum-bum, bum, bum-bum (Yeah, yeah, yeah) Bum, bum-bum-bum, bum-bum-bum-bum, bum, bum-bum (Haah) Bum, bum-bum-bum, bum-bum-bum-bum, bum, bum-bum Last Christmas, I gave you my heart {Gave you my heart} But the very next day you gave it away (Gave it away) This year {This year} To save me from tears I'll give it to someone special (Special) Once bitten and twice shy I keep my distance But you still catch my eye Tell me baby, do you recognize me? (Ooh) Well, it's been a year It doesn't surprise me (Yeah) (Rachel: Christmas) I wrapped it up and sent it {Last Christmas} With a note saying (""I love you"", I meant it) Now I know what a fool I've been (But if you) kissed me now (I know) you'd fool me again Last Christmas, I gave you my heart {Gave you my heart} And the very next day you gave it away (Gave it away) This year to save me from tears I'll give it to someone Special (I'll give it someone special) Special Last Christmas, I gave you my heart But the very next day {You gave it away} Gave it away (-Oh, yeah-) (:This year:) (|To save me from tears|) (-Save me from tears-) I'll give it to someone special (I'll give it someone special) Bum, bum, bum, bum-bum-bum-bum-bum, bum-bum (Whoa, hee) Bum-bum-bum-bum-bum bum (Oh-oh-oh-ooh) {Oah, oh-oh} Bum-bum-bum-bum-bum (Ha) A crowded room, friends with tired eyes I'm hiding from you and your soul of ice My god, I thought you were someone to rely on (Someone to rely on) Me? I guess I was a shoulder to cry on A face on a lover with a fire in his heart (Ooh, woah) (Ooh) A man under cover but you tore me apart (Ooh, ooh) {Ooh, ooh} (Now I've) found a real love you'll never fool me again {Oh-oh oh woah!} Last Christmas, I gave you my heart (Gave you my heart) And the very next day (Very next day) You gave it away {Gave it away} This year, to save me from tears (Save me from tears) I'll give it to someone special {Oh, oh, oh} Last Christmas, I gave you my heart (Ooh, ooh) But the very next day, you gave it away (You gave me away) This year to save me from tears (Oh) {Save me from tears} I'll give it to someone special (I'll give it to someone) (Special) Bum, bum, bum, bum-bum-bum-bum-bum-bum bum, bum (Gave you my heart) Bum-bum-bum-bum-bum {Ooh} Bum-bum-bum-bum-bum",-2
"37",37,37,37,37,"Last ChristmasWham!","Last Christmas","Wham!",2,"Ah, aha Ooh, ohh Ohh Last Christmas, I gave you my heart But the very next day you gave it away This year, to save me from tears I'll give it to someone special Last Christmas, I gave you my heart But the very next day you gave it away (You gave it away) This year, to save me from tears I'll give it to someone special (Special) Once bitten and twice shy I keep my distance, but you still catch my eye Tell me, baby, do you recognize me? Well, it's been a year, it doesn't surprise me (Happy Christmas) I wrapped it up and sent it With a note saying, ""I love you"", I meant it Now I know what a fool I've been But if you kissed me now, I know you'd fool me again Last Christmas, I gave you my heart But the very next day you gave it away (You gave it away) This year, to save me from tears I'll give it to someone special (Special) Last Christmas, I gave you my heart But the very next day you gave it away This year, to save me from tears I'll give it to someone special (Special, oh) Oh, oh, baby A crowded room, friends with tired eyes I'm hiding from you and your soul of ice My God, I thought you were someone to rely on Me? I guess I was a shoulder to cry on A face on a lover with a fire in his heart A man under cover but you tore me apart Ooh-hoo Now I've found a real love, you'll never fool me again Last Christmas, I gave you my heart But the very next day you gave it away (You gave it away) This year, to save me from tears I'll give it to someone special (Special) Last Christmas, I gave you my heart (I gave you my heart) But the very next day you gave it away (You gave me away) This year, to save me from tears (Ohh) I'll give it to someone special (Special) A face on a lover with a fire in his heart (I gave you my heart) A man under cover but you tore him apart Maybe next year I'll give it to someone, I'll give it to someone special Special... Someone...",-2
"38",38,38,38,38,"Let It SnowBoyz II Men","Let It Snow","Boyz II Men",7,"Let it snow, let it snow Let it snow, let it snow Hey, it's another Christmas Holiday It's a joyous thing let the angels sing Cause we're together We got a thing here, can't let it slip away Though outside is rain and sleet When our bodies meet... I don't care 'bout the weather Let it snow, let it snow Outside it's cold but the fire's blazin' So baby let it snow Let it snow, let it snow, let it snow Ohhhh, come over here and help me trim the tree I wanna wrap you up baby Then you'll see you're the only present I need There's so much more Waiting for you in store From this precious day I can gladly say There's no place that I'd rather be And ohhh, you are my everything, come a little closer God must have sent you down from heaven Let it snow, let it snow Outside it's cold but the fire's blazin' So baby let it snow Let it snow, let it snow, let it snow Let it snow, let it snow Let it snow, let it snow I don't care 'bout the weather baby As long as you're here with me",9
"39",39,39,39,39,"Little Altar BoyVic Dana","Little Altar Boy","Vic Dana",9,"Little alter boy, I wonder could you pray for me? Little alter boy, for I have gone astray What must I do, to be holy like you? Little alter boy, oh let me hear you pray Little alter boy, I wonder could you ask our lord Ask him, alter boy, to take my sins away What must I do, to be holy like you? Little alter boy, please let me hear you pray Lift up your voice and send a prayer above Help me rejoice and fill that prayer with love Now I know my life has been all wrong Lift up your voice and help a sinner be strong Little alter boy, I wonder could you pray for me? Could you tell our lord I'm going to change my way today? What must I do, to be holy like you? Little alter boy, oh let me hear you pray Little alter boy, please let me hear you pray",13
"40",40,40,40,40,"Macarena ChristmasLos Del Rio","Macarena Christmas","Los Del Rio",4,"Joy to the world, Joy to the world Joy to the world, Joy to the world Joy to the world, Joy to the world Joy to the world, Joy to the world Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria, Macarena Hey Macarena Ay! Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria, Macarena Hey Macarena Ay! Joy to the world, Joy to the world Joy to the world, Joy to the world Jingle bells, jingle bells Jingle all the way! O what fun it is to ride In a one-horse open sleigh Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria, Macarena Hey Macarena Ay! Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria, Macarena Hey Macarena Ay! Rudolph the red-nosed reindeer Had a very shiny nose And if you ever saw it You would even say it glows Rudolph with your nose so bright Won't you guide my sleigh tonight? Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria, Macarena Hey Macarena Ay! Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena Dale a tu cuerpo alegria, Macarena Hey Macarena Ay! I'm dreaming of a white Christmas With every Christmas card I write May your days be merry and bright And may all your Christmases be white Dale a tu cuerpo alegria Macarena Que tu cuerpo es pa' darle alegria y cosa buena (Joy to the world) Dale a tu cuerpo alegria, Macarena Hey Macarena Ay! (Joy to the world) Should auld acquaintance be forgot And never brought to mind? Should auld acquaintance be forgot For the sake of auld lang syne? For auld lang syne, my dear For auld lang syne We'll tak a cup of kindness yet For auld lang syne!",13
"41",41,41,41,41,"Merry Christmas In The NFLWillis ""The Guard"" & Vigorish","Merry Christmas In The Nfl","Willis ""The Guard"" & Vigorish",3,"They break out of the huddle The center snaps the ball The quarterback's fading He throws long, he's got it Touchdown Twas the night before Christmas And all through my brain There's footballs and thoughts Of the upcoming game My team colors were Hung by the television set In hopes they'd make it To the Super Bowl yet When out on the street There arose such a clatter I sprang from my bed To see what was the matter And what, with my Wondering eyes should be seen But Howard Cosell in a black limosine (CHORUS) (It's Merry Christmas) in the NFL (Merry Christmas) and we wish you well (Here's a helmet, a whistle too) (And cheerleader pictures Autographed to you) He warmed up, then sprinted And dodged as he came Whistling and shouting And calling by name Now Houston, now Dallas Now Pittsburgh, now Green Bay On Denver, on Cleveland On Oakland and L.A. His eyes, how they twinkled His nose like a cherry He brought Christmas cards From Franco and Terry And best wishes from Fran And Dandy Don, too Along with a pair of Their old football shoes (CHORUS) He opened his bag Full of presents for me Jerseys and kneepads And kicking tees And record books Containing all of the facts And highlight tapes For my Betamax He selected the tape Of Super Bowl Seven And we recapped the game 'Til well past eleven When the last play was run He picked his bag off the floor Ran a play up the middle And right out the door He lit a cigar, smiled and then Motioned his arm First down and ten And I heard him exclaim As he drove out of sight Merry Christmas to all See you next Monday night (CHORUS) (It's Merry Christmas) in the NFL (Merry Christmas) Hey, that's Pete Rozelle (Here's a helmet, a whistle too) Oh, jingle bells, jingle bells (And cheerleader pictures) Jingle all the way (Autographed to you) (It's Merry Christmas) Hey, Cosell How about next Christmas (Merry Christmas) Bringing Don Meridith He's my favorite TV actor (Here's a helmet, a whistle too) Aw, I love football (And cheerleader pictures)",25
"42",42,42,42,42,"MistletoeColbie Caillat","Mistletoe","Colbie Caillat",4,"Great Fake plastic Mistletoe Wrap me in a great big bow And tear me apart It's Christmas time So open up the flood gates Tell me that you'll be late And rip me apart Cause you say that You say that things will be alright But I've heard that I've heard that so many times and I know that It's not Christmas if the snow don't fall And I'm still standing here three feet small Lose our troubles because after all It's Christmas time It's Christmas time Cold Icing on the walkways Slip in to the games we play We're falling apart A great big house That's made out of ginger bread Crumbles to the ground We're breaking apart But you said that You said that things would be alright But I've heard that I've heard that so many times and I know that It's not Christmas if the snow don't fall And I'm still standing here three feet small Lose our troubles because after all It's Christmas time And I've been waiting for you to come And it's hard cause I feel so alone And I just want you to come home Waiting for you to come And it's hard cause I feel so alone And I just want you to come home It's not Christmas if the snow don't fall And I'm still standing here three feet small Lose our troubles because after all It's Christmas time It's not Christmas if the snow don't fall You're not here to keep me safe and warm Lose our troubles because after all It's Christmas time It's Christmas time again All your friends, all your friends are smiling It's Christmas time",0
"43",43,43,43,43,"MistletoeJustin Bieber","Mistletoe","Justin Bieber",10,"It's the most beautiful time of the year Lights fill the streets, spreading so much cheer I should be playing in the winter snow But I'ma be under the mistletoe I don't wanna miss out on the holiday But I can't stop staring at your face I should be playing in the winter snow But I'ma be under the mistletoe With you, shawty with you With you, shawty with you With you, under the mistletoe Everyone's gathering around the fire Chestnuts roasting like a hot July I should be chilling with my folks, I know But I'ma be under the mistletoe Word on the street, Santa's coming tonight Reindeer's flying through the sky so high I should be making a list, I know But I'ma be under the mistletoe With you, shawty with you With you, shawty with you With you, under the mistletoe With you, shawty with you With you, shawty with you With you, under the mistletoe Ayy love, the wise men followed the star The way I followed my heart And it led me to a miracle Ayy love, don't you buy me nothing 'Cause I am feeling one thing, your lips on my lips That's a merry, merry Christmas It's the most beautiful time of the year Lights fill the streets, spreading so much cheer I should be playing in the winter snow But I'ma be under the mistletoe I don't wanna miss out on the holiday But I can't stop staring at your face I should be playing in the winter snow But I'ma be under the mistletoe With you, shawty with you With you, shawty with you With you, under the mistletoe, yeah With you, shawty with you With you, shawty with you With you, under the mistletoe (under the mistletoe) Kiss me underneath the mistletoe Show me, baby, that you love me so-oh-oh, oh, oh, oh Kiss me underneath the mistletoe Show me, baby, that you love me so-oh-oh, oh, oh, oh",15
"44",44,44,44,44,"Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers","Monsters' Holiday","Bobby ""Boris"" Pickett And The Crypt-Kickers",6,"The snow is falling the city is white Ur eyes are shining like diamonds tonight And were all alone theres no one home Your finally in my arms again The night is silent, the moment is here I couldn't ask for more than having you near Cause i love you girl i always will And now i know the moment is right Cause i've been waiting to give this gift tonight Im down on my knees theres no better time Its something to last for as long as you live Tonight im gonna give you, all my heart can give I thought i'd give you something shiny and new I tried to find something worthy of you But i realized when i looked inside Theres somethings that money can't buy I feel the magic whenever your near I feel it even more this time of the year Cause i love you girl, i always will And now i know the moment is right, the moment is right Cause i've been waiting to give this gift tonight Im down on my knees theres no better time Its something to last for as long as you live Tonight im gonna give you, all my heart can give You know ill always be true to you And you know im the one you can turn to Anytime any place anywhere You'll know that ill always be there Oh baby Cause i've been waiting to give this gift tonight Im down on my knees theres no better time Its something to last for as long as you live Tonight im gonna give you, all my heart can give",7
"45",45,45,45,45,"My Favorite ThingsHerb Alpert & The Tijuana Brass","My Favorite Things","Herb Alpert & The Tijuana Brass",6,"",0
"46",46,46,46,46,"Oh Santa!Mariah Carey","Oh Santa!","Mariah Carey",1,"Oh, Santa's gonna come and make him mine this Christmas Santa's gonna come and make him mine, mine Oh Santa Santa's gonna come and make him mine this Christmas Santa's gonna come and make him mine, mine Oh Santa Santa If you get this letter Won't you help me out? I know you're kinda busy with your elves right now And I don't know how You do the things you do while I sleep on Christmas eve But it's amazing And I bet that you could bring me back my baby Because every time I see Christmas lights I feel this burn inside And I just can't take it I saw them shopping last week And his new girl was so bleak And then I swore to myself Santa's gonna come and make him mine this Christmas night Ho, ho, ho Santa's gonna come and make you mine this Christmas Santa's gonna come and make you mine, ho, ho, ho Santa's gonna come and make you mine this Christmas night Oh Santa I heard that it's really gonna snow this year So I hope Rudolph and them other eight reindeer Get you safely here So you can scoop him up and swoop him right down my chimney I've been really, really, really good this year So put on that red suit and make him appear 'Cause Christmas cheer Just ain't the same without my baby Come on, oh Kris Kringle, send me help They say it's unrealistic But I believe in you Saint Nick So grant this wish for me right quick Santa won't you come and make him mine this Christmas night? Ho, ho, ho Santa's gonna come and make you mine this Christmas Santa's gonna come and make you mine, ho, ho, ho Santa's gonna come and make you mine this Christmas night Oh, Santa Oh, Santa Oh, Santa Come on, Santa Oh Santa Santa gon' come and make him mine this Christmas Santa gon' come and make him mine, mine Oh Santa Santa gon' come and make him mine this Christmas Santa gon' come and make him mine, mine Oh, Santa Claus If you get this letter, please don't make me wait 'Cause all December I'll be counting down the days So hop on your sleigh I promise that I won't forget the milk and cookies The trees all sparkly and gold But inside I feel so cold So soon as you leave the North Pole Santa won't you come and make him mine this Christmas? Santa's gonna come and make you mine, ho, ho, ho Santa's gonna come and make you mine this Christmas Santa's gonna come and make you mine, ho, ho, ho Santa's gonna come and make you mine, mine Santa's gonna come and make you mine, ho, ho, ho Santa's gonna come and make you mine this Christmas Santa's gonna come and make you mine, ho, ho, ho Santa's gonna come and make you mine, mine Santa's gonna come and make you mine, ho, ho, ho Santa's gonna come and make you mine this Christmas Santa's gonna come and make you mine, ho, ho, ho Santa's gonna come and make you mine, mine Santa gon' come and make you mine this Christmas Santa gon' come and make you",19
"47",47,47,47,47,"Please Come Home For ChristmasCharles Brown","Please Come Home For Christmas","Charles Brown",3,"Bells will be ringing the glad, glad news Oh, what a Christmas to have the blues My baby's gone, I have no friends To wish me greetings, mm once again Choirs will be singing ""Silent Night"" Christmas carols by candlelight Please come home for Christmas Please come home for Christmas If not for Christmas, by New Year's night Friends and relations send salutations Sure as the stars shine above This is Christmas, yes, Christmas, my dear The time of year to be with the one you love Then won't you tell me, you'll never more roam Christmas and New Year's will find you home There'll be no more sorrow, no grief and pain 'Cause I'll be happy, happy, once again Ooh, no more sorrow, no grief and pain 'Cause I'll be happy, Christmas, once again",9
"48",48,48,48,48,"Please Come Home For ChristmasEagles","Please Come Home For Christmas","Eagles",8,"Bells will be ringing this sad, sad news Oh, what a Christmas to have the blues My baby's gone, I have no friends To wish me greetings once again Choirs will be singing ""Silent Night"" Christmas carols by candlelight Please come home for Christmas Please come home for Christmas If not for Christmas, by New Year's night Friends and relations send salutations Sure as the stars shine above But this is Christmas, yes, Christmas my dear The time of year to be with the ones you love So won't you tell me you'll never more roam Christmas and New Year's will find you home There will be no more sorrow, no grief and pain And I'll be happy, happy once again Ooh, there'll be no more sorrow, no grief and pain And I'll be happy, Christmas once again",4
"49",49,49,49,49,"Pretty PaperRoy Orbison","Pretty Paper","Roy Orbison",7,"(The pretty paper, pretty ribbons of blue) Pretty paper, pretty ribbons of blue Wrap your presents to your darling from you Pretty pencils to write I love you Pretty paper, pretty ribbons of blue Crowded street, busy feet, hustle by him Downtown shoppers, Christmas is nigh There he sits all alone on the sidewalk (aaaaaaaah) Hoping that you won't pass him by (oooo ooo ooh) Should you stop? Better not, much too busy You're in a hurry, my how time does fly In the distance the ringing of laughter (oooh oooh oooh) And in the midst of the laughter he cries Pretty paper, pretty ribbons of blue Wrap your presents to your darling from you Pretty pencils to write I love you Pretty paper, pretty ribbons of blue (oooh oooh)",3
"50",50,50,50,50,"RiverSarah McLachlan","River","Sarah McLachlan",3,"It's coming on Christmas They're cutting down trees They're putting up reindeer Singing songs of joy and peace Oh I wish I had a river I could skate away on But it don't snow here It stays pretty green I'm going to make a lot of money Then I'm going to quit this crazy scene I wish I had a river I could skate away on I wish I had a river so long I would teach my feet to fly Oh I wish I had a river I could skate away on I made my baby cry He tried hard to help me You know, he put me at ease And he loved me so naughty Made me weak in the knees Oh I wish I had a river I could skate away on I'm so hard to handle I'm selfish and I'm sad Now I've gone and lost the best baby That I ever had Oh I wish I had a river I could skate away on Oh, I wish I had a river so long I would teach my feet to fly Oh I wish I had a river I could skate away on I made my baby say goodbye It's coming on Christmas They're cutting down trees They're putting up reindeer Singing songs of joy and peace Oh, I wish I had a river I could skate away on",2
"51",51,51,51,51,"Rockin' Around The Christmas TreeBrenda Lee","Rockin' Around The Christmas Tree","Brenda Lee",19,"Rockin' around the Christmas tree At the Christmas party hop Mistletoe hung where you can see Ev'ry couple tries to stop Rockin' around the Christmas tree Let the Christmas spirit ring Later we'll have some pumpkin pie And we'll do some caroling You will get a sentimental feeling when you hear Voices singing, ""Let's be jolly - Deck the halls with boughs of holly!"" Rockin' around the Christmas tree Have a happy holiday Everyone's dancing merrily In a new old fashioned way You will get a sentimental feeling when you hear Voices singing, ""Let's be jolly - Deck the halls with boughs of holly!"" Rockin' around the Christmas tree Have a happy holiday Everyone's dancing merrily In a new old fashioned way",6
"52",52,52,52,52,"Run Rudolph RunChuck Berry","Run Rudolph Run","Chuck Berry",3,"Out of all the reindeers, you know you're the mastermind Run, run Rudolph, Randalph ain't too far behind Run, run Rudolph, Santa's got to make it to town Santa make him hurry, tell him he can take the freeway down Run, run Rudolph cause I'm reeling like a merry-go-round Said Santa to a boy ""Child, what have you been longing for?"" ""All I want for Christmas is a Rock and Roll electric guitar"" And then away went Rudolph whizzing like a shooting star Run, run Rudolph, Santa has to make it to town Santa make him hurry, tell him he can take the freeway down Run, run Rudolph, reeling like a merry-go-round Run, run Rudolph, Santa's got to make it to town Santa make him hurry, tell him he can take the freeway down Run, run Rudolph, I'm reeling like a merry-go-round Said Santa to a girl ""Child, what would please you most to get?"" ""A little baby doll that can cry, sleep, drink and wet"" And then away went Rudolph, whizzing like a Saber jet Run, run Rudolph, Santa's got to make it to town Santa make him hurry, tell him he can take the freeway down Run, run Rudolph, I'm reeling like a merry-go-round",5
"53",53,53,53,53,"Same Old Lang SyneDan Fogelberg","Same Old Lang Syne","Dan Fogelberg",8,"Met my old lover in the grocery store The snow was falling Christmas Eve I stole behind her in the frozen foods And I touched her on the sleeve She didn't recognize the face at first But then her eyes flew open wide She went to hug me and she spilled her purse And we laughed until we cried We took her groceries to the checkout stand The food was totaled up and bagged We stood there lost in our embarrassment As the conversation dragged Went to have ourselves a drink or two But couldn't find an open bar We bought a six-pack at the liquor store And we drank it in her car We drank a toast to innocence We drank a toast to now And tried to reach beyond the emptiness But neither one knew how She said she'd married her an architect Who kept her warm and safe and dry She would have liked to say she loved the man But she didn't like to lie I said the years had been a friend to her And that her eyes were still as blue But in those eyes I wasn't sure if I Saw doubt or gratitude She said she saw me in the record stores And that I must be doing well I said the audience was heavenly But the traveling was hell We drank a toast to innocence We drank a toast to now And tried to reach beyond the emptiness But neither one knew how We drank a toast to innocence We drank a toast to time Reliving in our eloquence Another 'auld lang syne' The beer was empty and our tongues were tired And running out of things to say She gave a kiss to me as I got out And I watched her drive away Just for a moment I was back at school And felt that old familiar pain And as I turned to make my way back home The snow turned into rain NA",-1
"54",54,54,54,54,"Santa Claus Is Watching YouRay Stevens","Santa Claus Is Watching You","Ray Stevens",3,"Now baby doll, sweetie-pie, sugarplum Honey-bunch, angel face You know you better be good And act like two fine lovers should Be careful what you say and do 'Cause Santa Claus is watchin' you He's everywhere, he's everywhere You'd better kiss and hold me tight And give me good lovin' every night 'Cause you'll be sorry if ya make me blue 'Cause Santa Claus is watchin' you He's everywhere, he's everywhere Well you may thing you can sneak around And get away with something but there ain't no way 'Cause Santa's no fool, he's really super cool He's the secret head of the CIA Eesh, Iish, crime don't pay You can't do nothin' 'cause you're never alone He's even got a wire tap on your phone So baby if you ever do me wrong Break my heart and leave me alone When Christmas comes, you'll b crying too 'Cause Santa Claus is watching you He's everywhere, he's everywhere Every Christmas eve, he climbs on his sled full of toys With fuel exhaust and side mirrors The fox tails,the mud flaps the leopard-skin seats covers And spreads Christmas cheer to all good little girls and boys Then he says on Dasher, Dancer, Prancer, Vixen, Comet, Cupid Donner and Blitzen and Bruce and Marvin, Leon Cletus and George and Bill and Slick and Do-right Clyde and Ace and Blackie and Queenie And Prince and Spot and Rover So where's Rudolph He's on a stakeout at your house You can run, you can hide, but you can't get away Got binoculars focused on you everyday So baby if you ever do me wrong Break my heart and leave me alone When Christmas comes, you'll b crying too 'Cause Santa Claus is watching you He's everywhere, he's everywhere Yeah, Santa Claus is watchin' you He's everywhere oh Lord have mercy! Santa Claus has got his eyes all over you baby You you better watch out hoo! Look out there Santa Claus is peepin' around the corner at you You're in deep trouble, you know that? I don't think you understand the situation I got a call into the North Pole right now Them little elves gonna come down here, whoop up on you I'm mean you got to be true blue - through and through Or Santa's gonna get you!",10
"55",55,55,55,55,"Santa Tell MeAriana Grande","Santa Tell Me","Ariana Grande",5,"Santa, tell me if you're really there Don't make me fall in love again if he won't be here next year Santa, tell me if he really cares 'Cause I can't give it all away if he won't be here next year Feeling Christmas all around And I'm trying to play it cool But it's hard to focus when I see him walking 'cross the room""Let It Snow"" is blasting out But I won't get it in the mood I'm avoiding every mistletoe until I know it's True love that he thinks of So next Christmas I'm not all alone, boy Santa, tell me if you're really there Don't make me fall in love again if he won't be here next year Santa, tell me if he really cares 'Cause I can't give it all away if he won't be here next year I've been down this road before Fell in love on Christmas night But on New Year's Day, I woke up and he wasn't by my side Now I need someone to hold Be my fire in the cold But it's hard to tell if this is just a fling or if it's True love that he thinks of So next Christmas I'm not all alone, boy Santa, tell me if you're really there Don't make me fall in love again if he won't be here next year Santa, tell me if he really cares 'Cause I can't give it all away if he won't be here next year Oh, I wanna have him beside me, like oh-woo-oh On the 25th, by that fireplace, oh-woo-oh But I don't want a new broken heart This year I've got to be smart Oh, baby (Santa, tell me, Santa, tell me) If he will be, if he will be here (Santa, tell me, Santa, tell me) Oh, woah Santa, tell me (Santa, tell me) if you're really there ('Cause I really care) Don't make me fall in love again if he won't be here next year Santa, tell me (Tell me) if he really cares (Tell me, boy) 'Cause I can't give it all away if he won't be here next year Santa, tell me (Tell me) if you're really there (Santa, baby) Don't make me fall in love again if he won't be here next year (If he won't be, if he won't be here) Santa, tell me (Tell me) if he really cares (Do you care?) 'Cause I can't give it all away if he won't be here next year",12
